Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Address,Price
64967.14153011233,6.696572495333637,6.528142451698598,4.0788377596681356,46640.010771538095,Fake Address 0,150064.6575133285
58617.35698828816,6.566647185071333,8.0127024710156,4.562897483185058,37038.839513179075,Fake Address 1,142091.56778239823
66476.88538100693,4.126960308389018,6.801813152697682,4.341101953283373,39334.13590896979,Fake Address 2,124009.91498646651
75230.29856408025,7.159168443527476,7.090569264717639,2.722085801807083,38246.17628864434,Fake Address 3,150832.2769825748
57658.46625276664,3.019834648846764,7.717390606637718,3.813779697972073,45140.536805963355,Fake Address 4,108119.13169272526
57658.630430508194,4.691631348479342,6.941036593151059,4.652779549084244,42861.30466120266,Fake Address 5,124280.52256442614
75792.12815507391,2.0018243742043844,5.182152141670141,4.41804032243793,59063.199372532494,Fake Address 6,97970.01385142781
67674.34729152909,9.117253033925628,8.040587504553548,3.2181295794527753,36158.56501668135,Fake Address 7,166884.22896089757
55305.256140650476,5.536901012109409,8.254928829915052,4.41590347426444,57928.522775652586,Fake Address 8,145830.00167290532
65425.60043585965,10.333768069632622,5.168883908399557,4.91488925180444,21882.561741016147,Fake Address 9,179584.9812277588
55365.82307187538,7.60589985303899,5.9567087943384625,3.0237009637895502,44895.23035249548,Fake Address 10,143330.7965352179
55342.70246429743,6.896196426702049,9.02387961748551,2.039766261387432,24143.942782777078,Fake Address 11,152918.63352129472
62419.62271566034,4.827544611438002,7.232034678503912,5.774063386407185,29761.094479475847,Fake Address 12,128181.19127880182
40867.19755342202,3.9072999286251604,7.003551273270365,4.315334914077743,30253.404437353944,Fake Address 13,101269.37748248289
42750.82167486967,7.04594314779389,6.5736165929504295,3.5427081711088055,29475.27785040898,Fake Address 14,135007.93447838727
54377.12470759027,5.856971981454036,5.969297349143366,3.5084447050393774,33919.25226907425,Fake Address 15,120169.06925861491
49871.68879665576,3.321459369029398,6.805582357693616,4.146790537523772,62005.00631177965,Fake Address 16,109717.68470073208
63142.47332595274,2.966283166983363,7.974422739165711,5.041018410521559,31219.44892502652,Fake Address 17,110797.3499949856
50919.75924478789,4.082592541712833,6.984322040619001,2.490211863128514,23862.04930326754,Fake Address 18,100573.88950303616
45876.962986647086,9.64193445053246,7.610284085893048,3.599055440176256,44937.0392468202,Fake Address 19,150965.0227539555
74656.48768921554,10.426555836022608,8.765707148506563,5.653967419954574,42422.865867046356,Fake Address 20,200337.27777965745
57742.23699513464,6.40997829461782,6.4195218195538075,4.8246189558201005,62162.83043056188,Fake Address 21,142537.5439449067
60675.28204687924,6.297885592482577,7.302874900658441,4.739307720554759,39592.081326917665,Fake Address 22,149957.3769160755
45752.51813786543,5.327359256340958,8.004393560935677,4.4076965113788935,17125.869693059863,Fake Address 23,118024.74660783148
54556.17275474817,4.131029303380996,6.067096366533403,4.310481276532504,35725.781115811136,Fake Address 24,116163.39597371018
61109.22589709866,8.750358115214489,7.1780528280658045,3.531824896178255,35526.99817169407,Fake Address 25,162129.0119046749
48490.06422577697,9.747152787794272,8.872324524626361,3.4417834824359743,27671.375466486246,Fake Address 26,175420.6708517931
